City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,rorvik,92,NO,1539133687,100,64.86,11.24,47.61,12.55
88,wasilla,90,US,1539129360,47,61.58,-149.44,53.06,3.36
89,bethel,90,US,1539129180,89,60.79,-161.76,51.08,13.87
90,padang,80,ID,1539133688,100,-0.92,100.36,79.83,4.12
91,bela vista,20,BR,1539133689,78,-22.11,-56.53,79.69,3.6
92,duekoue,44,CI,1539133689,97,6.74,-7.35,69.21,2.82
93,corrales,76,CO,1539133689,95,5.83,-72.84,54.31,0.76
94,arrifes,40,PT,1539131400,82,37.77,-25.7,66.2,9.17
95,lasa,64,CY,1539133200,77,34.92,32.53,68.0,8.05
96,nioki,0,CD,1539133690,85,-2.72,17.69,76.54,3.49
97,sur,0,OM,1539133690,97,22.57,59.53,81.63,3.0
98,pangnirtung,24,CA,1539133690,90,66.15,-65.72,25.02,4.5
99,roebourne,0,AU,1539133690,29,-20.77,117.15,85.18,11.83
100,carnarvon,0,ZA,1539133690,22,-30.97,22.13,59.89,8.63
101,tvedestrand,48,NO,1539132600,93,58.62,8.93,55.4,10.29
102,los llanos de aridane,20,ES,1539133200,78,28.66,-17.92,75.2,4.7
103,matagami,44,NG,1539133691,94,9.67,8.4,66.06,3.11
104,tarata,0,PE,1539133691,62,-17.47,-70.03,41.53,1.59
105,airai,0,TL,1539133691,39,-8.93,125.41,77.31,2.04
106,hilo,1,US,1539129360,60,19.71,-155.08,82.94,8.05
107,umm lajj,36,SA,1539133691,91,25.02,37.27,82.35,11.54
108,maceio,0,BR,1539133200,88,-9.67,-35.74,71.6,4.7
109,gemena,56,CD,1539133692,97,3.25,19.78,69.93,2.37
110,tezu,0,IN,1539133692,69,27.93,96.16,58.59,1.7
111,chokurdakh,44,RU,1539133692,87,70.62,147.9,18.09,10.09
112,qaqortoq,0,GL,1539132600,53,60.72,-46.03,24.8,4.7
113,bitung,20,ID,1539129600,70,1.44,125.19,84.2,2.24
114,pagsangahan,12,PH,1539133693,100,11.13,124.56,80.41,4.27
115,hithadhoo,80,MV,1539133693,100,-0.6,73.08,83.07,13.11
116,kayes,0,ML,1539133693,79,14.44,-11.44,75.15,2.89
117,longyearbyen,40,NO,1539132600,67,78.22,15.63,23.0,8.05
118,talara,0,PE,1539133694,62,-4.58,-81.27,70.24,9.37
119,kavieng,32,PG,1539133694,100,-2.57,150.8,82.35,4.27
120,marystown,92,CA,1539133694,100,47.17,-55.16,47.61,12.62
121,gizo,20,IL,1539130800,69,31.8,34.94,75.2,3.36
122,shahr-e babak,0,IR,1539133419,77,30.12,55.12,44.86,3.38
123,tomatlan,12,MX,1539133694,46,19.93,-105.25,84.87,7.58
124,new norfolk,75,AU,1539131400,40,-42.78,147.06,51.8,12.75
125,sorong,0,ID,1539133695,100,-0.86,131.25,81.13,4.61
126,opuwo,36,NA,1539133695,18,-18.06,13.84,70.51,6.4
127,namibe,12,AO,1539133695,100,-15.19,12.15,67.59,6.62
128,valparaiso,40,US,1539132300,57,41.47,-87.06,80.06,6.93
